Tracking ID,Section,Setting or token,Candidate kind,Trace verdict,Disposition,Root cause,Why,Trace detail,Phase 3 status,Phase 3 evidence,Current source references
CONF-011,3rd-party-shipping-explainer,--connect-dots,orphan,DEAD-TOKEN,CONFIRMED DEFECT,RC-16,custom property declared from a setting and read by no rule; inert under exact re-adjudication with every gate open,--connect-dots is declared and read by no CSS rule,NO LONGER APPLICABLE,"Current occurrences are BEM class suffixes, not custom-property declarations. See source trace.","sections/3rd-party-shipping-explainer.liquid:207: #q-ft-{{ section.id }} .q-timeline--connect-dots .q-timeline__item:not(:last-child)::before{
sections/3rd-party-shipping-explainer.liquid:218: #q-ft-{{ section.id }} .q-timeline--connect-dots .q-timeline__item:not(:last-child)::before{
sections/3rd-party-shipping-explainer.liquid:277: #q-ft-{{ section.id }}.q-fulfillment-timeline--horizontal .q-timeline-wrap{
sections/3rd-party-shipping-explainer.liquid:281: #q-ft-{{ section.id }}.q-fulfillment-timeline--horizontal .q-timeline{
sections/3rd-party-shipping-explainer.liquid:291: #q-ft-{{ section.id }}.q-fulfillment-timeline--horizontal .q-timeline--connect-line::before,
sections/3rd-party-shipping-explainer.liquid:292: #q-ft-{{ section.id }}.q-fulfillment-timeline--horizontal .q-timeline--connect-dots::before{
sections/3rd-party-shipping-explainer.liquid:302: #q-ft-{{ section.id }}.q-fulfillment-timeline--horizontal .q-timeline--connect-dots::before{
sections/3rd-party-shipping-explainer.liquid:311: #q-ft-{{ section.id }}.q-fulfillment-timeline--horizontal .q-timeline--connect-none::before{ content:none !important; }
sections/3rd-party-shipping-explainer.liquid:314: #q-ft-{{ section.id }}.q-fulfillment-timeline--horizontal .q-timeline__item{
sections/3rd-party-shipping-explainer.liquid:319: #q-ft-{{ section.id }}.q-fulfillment-timeline--horizontal .q-timeline__index{"
CONF-012,3rd-party-shipping-explainer,--connect-line,orphan,DEAD-TOKEN,CONFIRMED DEFECT,RC-16,custom property declared from a setting and read by no rule; inert under exact re-adjudication with every gate open,--connect-line is declared and read by no CSS rule,NO LONGER APPLICABLE,"Current occurrences are BEM class suffixes, not custom-property declarations. See source trace.","sections/3rd-party-shipping-explainer.liquid:206: #q-ft-{{ section.id }} .q-timeline--connect-line .q-timeline__item:not(:last-child)::before,
sections/3rd-party-shipping-explainer.liquid:277: #q-ft-{{ section.id }}.q-fulfillment-timeline--horizontal .q-timeline-wrap{
sections/3rd-party-shipping-explainer.liquid:281: #q-ft-{{ section.id }}.q-fulfillment-timeline--horizontal .q-timeline{
sections/3rd-party-shipping-explainer.liquid:291: #q-ft-{{ section.id }}.q-fulfillment-timeline--horizontal .q-timeline--connect-line::before,
sections/3rd-party-shipping-explainer.liquid:292: #q-ft-{{ section.id }}.q-fulfillment-timeline--horizontal .q-timeline--connect-dots::before{
sections/3rd-party-shipping-explainer.liquid:302: #q-ft-{{ section.id }}.q-fulfillment-timeline--horizontal .q-timeline--connect-dots::before{
sections/3rd-party-shipping-explainer.liquid:311: #q-ft-{{ section.id }}.q-fulfillment-timeline--horizontal .q-timeline--connect-none::before{ content:none !important; }
sections/3rd-party-shipping-explainer.liquid:314: #q-ft-{{ section.id }}.q-fulfillment-timeline--horizontal .q-timeline__item{
sections/3rd-party-shipping-explainer.liquid:319: #q-ft-{{ section.id }}.q-fulfillment-timeline--horizontal .q-timeline__index{
sections/3rd-party-shipping-explainer.liquid:324: #q-ft-{{ section.id }}.q-fulfillment-timeline--horizontal .q-timeline__item::before{"
CONF-013,3rd-party-shipping-explainer,--connect-none,orphan,DEAD-TOKEN,CONFIRMED DEFECT,RC-16,custom property declared from a setting and read by no rule; inert under exact re-adjudication with every gate open,--connect-none is declared and read by no CSS rule,NO LONGER APPLICABLE,"Current occurrences are BEM class suffixes, not custom-property declarations. See source trace.","sections/3rd-party-shipping-explainer.liquid:227: #q-ft-{{ section.id }} .q-timeline--connect-none .q-timeline__item::before{ content:none !important; }
sections/3rd-party-shipping-explainer.liquid:277: #q-ft-{{ section.id }}.q-fulfillment-timeline--horizontal .q-timeline-wrap{
sections/3rd-party-shipping-explainer.liquid:281: #q-ft-{{ section.id }}.q-fulfillment-timeline--horizontal .q-timeline{
sections/3rd-party-shipping-explainer.liquid:291: #q-ft-{{ section.id }}.q-fulfillment-timeline--horizontal .q-timeline--connect-line::before,
sections/3rd-party-shipping-explainer.liquid:292: #q-ft-{{ section.id }}.q-fulfillment-timeline--horizontal .q-timeline--connect-dots::before{
sections/3rd-party-shipping-explainer.liquid:302: #q-ft-{{ section.id }}.q-fulfillment-timeline--horizontal .q-timeline--connect-dots::before{
sections/3rd-party-shipping-explainer.liquid:311: #q-ft-{{ section.id }}.q-fulfillment-timeline--horizontal .q-timeline--connect-none::before{ content:none !important; }
sections/3rd-party-shipping-explainer.liquid:314: #q-ft-{{ section.id }}.q-fulfillment-timeline--horizontal .q-timeline__item{
sections/3rd-party-shipping-explainer.liquid:319: #q-ft-{{ section.id }}.q-fulfillment-timeline--horizontal .q-timeline__index{
sections/3rd-party-shipping-explainer.liquid:324: #q-ft-{{ section.id }}.q-fulfillment-timeline--horizontal .q-timeline__item::before{"
CONF-014,account-main-account-login,body_font_size,dead,DEAD-TOKEN,CONFIRMED DEFECT,RC-16,custom property declared from a setting and read by no rule; inert under exact re-adjudication with every gate open,--account-main-account-login-body-size is declared from this setting and read by no rule,FIXED — REQUIRES LIVE SHOPIFY VERIFICATION,Correct account stylesheet loaded in 3A.,"assets/account-main-account.css:5: font-size: var(--account-main-account-login-body-size);
sections/account-main-account-login.liquid:40: --account-main-account-login-body-size: {{ section.settings.body_font_size }}px;
sections/account-main-account-login.liquid:630: ""id"": ""body_font_size"","
CONF-015,account-main-account-login,button_padding,dead,DEAD-TOKEN,CONFIRMED DEFECT,RC-16,custom property declared from a setting and read by no rule; inert under exact re-adjudication with every gate open,--account-main-account-login-button-padding is declared from this setting and read by no rule,FIXED — REQUIRES LIVE SHOPIFY VERIFICATION,Correct account stylesheet loaded in 3A.,"assets/account-main-account.css:214: padding: var(--account-main-account-login-button-padding) calc(var(--account-main-account-login-button-padding) * 1.5);
sections/account-main-account-login.liquid:45: --account-main-account-login-button-padding: {{ section.settings.button_padding }}px;
sections/account-main-account-login.liquid:708: ""id"": ""button_padding"","
CONF-016,account-main-account-login,button_radius,dead,DEAD-TOKEN,CONFIRMED DEFECT,RC-16,custom property declared from a setting and read by no rule; inert under exact re-adjudication with every gate open,--account-main-account-login-button-radius is declared from this setting and read by no rule,FIXED — REQUIRES LIVE SHOPIFY VERIFICATION,Correct account stylesheet loaded in 3A.,"assets/account-main-account.css:216: border-radius: var(--account-main-account-login-button-radius);
sections/account-main-account-login.liquid:44: --account-main-account-login-button-radius: {{ section.settings.button_radius }}px;
sections/account-main-account-login.liquid:698: ""id"": ""button_radius"","
CONF-017,account-main-account-login,card_background,dead,DEAD-TOKEN,CONFIRMED DEFECT,RC-16,custom property declared from a setting and read by no rule; inert under exact re-adjudication with every gate open,--account-main-account-login-card-background is declared from this setting and read by no rule,FIXED — REQUIRES LIVE SHOPIFY VERIFICATION,Correct account stylesheet loaded in 3A.,"assets/account-main-account.css:92: background: var(--account-main-account-login-card-background);
sections/account-main-account-login.liquid:46: --account-main-account-login-card-background: {{ section.settings.card_background }};
sections/account-main-account-login.liquid:722: ""id"": ""card_background"","
CONF-018,account-main-account-login,card_border,dead,DEAD-TOKEN,CONFIRMED DEFECT,RC-16,custom property declared from a setting and read by no rule; inert under exact re-adjudication with every gate open,--account-main-account-login-card-border is declared from this setting and read by no rule,FIXED — REQUIRES LIVE SHOPIFY VERIFICATION,Correct account stylesheet loaded in 3A.,"assets/account-main-account.css:79: border: 1px dashed var(--account-main-account-login-card-border);
assets/account-main-account.css:93: border: 1px solid var(--account-main-account-login-card-border);
assets/account-main-account.css:142: border: 1px solid var(--account-main-account-login-card-border);
assets/account-main-account.css:277: border-top: 1px solid var(--account-main-account-login-card-border);
assets/account-main-account.css:287: border-top: 1px solid var(--account-main-account-login-card-border);
sections/account-main-account-login.liquid:47: --account-main-account-login-card-border: {{ section.settings.card_border }};
sections/account-main-account-login.liquid:728: ""id"": ""card_border"","
CONF-019,account-main-account-login,card_padding,dead,DEAD-TOKEN,CONFIRMED DEFECT,RC-16,custom property declared from a setting and read by no rule; inert under exact re-adjudication with every gate open,--account-main-account-login-card-padding is declared from this setting and read by no rule,FIXED — REQUIRES LIVE SHOPIFY VERIFICATION,Correct account stylesheet loaded in 3A.,"assets/account-main-account.css:91: padding: var(--account-main-account-login-card-padding);
assets/account-main-account.css:357: padding: min(var(--account-main-account-login-card-padding), 28px);
sections/account-main-account-login.liquid:49: --account-main-account-login-card-padding: {{ section.settings.card_padding }}px;
sections/account-main-account-login.liquid:744: ""id"": ""card_padding"","
CONF-020,account-main-account-login,card_radius,dead,DEAD-TOKEN,CONFIRMED DEFECT,RC-16,custom property declared from a setting and read by no rule; inert under exact re-adjudication with every gate open,--account-main-account-login-card-radius is declared from this setting and read by no rule,FIXED — REQUIRES LIVE SHOPIFY VERIFICATION,Correct account stylesheet loaded in 3A.,"assets/account-main-account.css:94: border-radius: var(--account-main-account-login-card-radius);
assets/account-main-account.css:358: border-radius: min(var(--account-main-account-login-card-radius), 22px);
sections/account-main-account-login.liquid:48: --account-main-account-login-card-radius: {{ section.settings.card_radius }}px;
sections/account-main-account-login.liquid:734: ""id"": ""card_radius"","
CONF-021,account-main-account-login,field_padding,dead,DEAD-TOKEN,CONFIRMED DEFECT,RC-16,custom property declared from a setting and read by no rule; inert under exact re-adjudication with every gate open,--account-main-account-login-field-padding is declared from this setting and read by no rule,FIXED — REQUIRES LIVE SHOPIFY VERIFICATION,Correct account stylesheet loaded in 3A.,"assets/account-main-account.css:141: padding: var(--account-main-account-login-field-padding);
sections/account-main-account-login.liquid:42: --account-main-account-login-field-padding: {{ section.settings.field_padding }}px;
sections/account-main-account-login.liquid:654: ""id"": ""field_padding"","
CONF-022,account-main-account-login,field_radius,dead,DEAD-TOKEN,CONFIRMED DEFECT,RC-16,custom property declared from a setting and read by no rule; inert under exact re-adjudication with every gate open,--account-main-account-login-field-radius is declared from this setting and read by no rule,FIXED — REQUIRES LIVE SHOPIFY VERIFICATION,Correct account stylesheet loaded in 3A.,"assets/account-main-account.css:80: border-radius: var(--account-main-account-login-field-radius);
assets/account-main-account.css:143: border-radius: var(--account-main-account-login-field-radius);
assets/account-main-account.css:173: border-radius: calc(var(--account-main-account-login-field-radius) - 4px);
assets/account-main-account.css:312: border-radius: var(--account-main-account-login-field-radius);
sections/account-main-account-login.liquid:41: --account-main-account-login-field-radius: {{ section.settings.field_radius }}px;
sections/account-main-account-login.liquid:644: ""id"": ""field_radius"","
CONF-023,account-main-account-login,field_spacing,dead,DEAD-TOKEN,CONFIRMED DEFECT,RC-16,custom property declared from a setting and read by no rule; inert under exact re-adjudication with every gate open,--account-main-account-login-field-spacing is declared from this setting and read by no rule,FIXED — REQUIRES LIVE SHOPIFY VERIFICATION,Correct account stylesheet loaded in 3A.,"assets/account-main-account.css:130: margin-bottom: var(--account-main-account-login-field-spacing);
assets/account-main-account.css:190: margin: 2px 0 var(--account-main-account-login-field-spacing);
sections/account-main-account-login.liquid:43: --account-main-account-login-field-spacing: {{ section.settings.field_spacing }}px;
sections/account-main-account-login.liquid:664: ""id"": ""field_spacing"","
CONF-024,account-main-account-login,heading_font_size,dead,DEAD-TOKEN,CONFIRMED DEFECT,RC-16,custom property declared from a setting and read by no rule; inert under exact re-adjudication with every gate open,--account-main-account-login-heading-size is declared from this setting and read by no rule,FIXED — REQUIRES LIVE SHOPIFY VERIFICATION,Correct account stylesheet loaded in 3A.,"assets/account-main-account.css:50: font-size: var(--account-main-account-login-heading-size);
assets/account-main-account.css:57: font-size: var(--account-main-account-login-subheading-size);
assets/account-main-account.css:353: font-size: clamp(32px, 10vw, var(--account-main-account-login-heading-size));
sections/account-main-account-login.liquid:38: --account-main-account-login-heading-size: {{ section.settings.heading_font_size }}px;
sections/account-main-account-login.liquid:39: --account-main-account-login-subheading-size: {{ section.settings.subheading_font_size }}px;
sections/account-main-account-login.liquid:610: ""id"": ""heading_font_size"",
sections/account-main-account-login.liquid:620: ""id"": ""subheading_font_size"","
CONF-025,account-main-account-login,subheading_font_size,dead,DEAD-TOKEN,CONFIRMED DEFECT,RC-16,custom property declared from a setting and read by no rule; inert under exact re-adjudication with every gate open,--account-main-account-login-subheading-size is declared from this setting and read by no rule,FIXED — REQUIRES LIVE SHOPIFY VERIFICATION,Correct account stylesheet loaded in 3A.,"assets/account-main-account.css:57: font-size: var(--account-main-account-login-subheading-size);
sections/account-main-account-login.liquid:39: --account-main-account-login-subheading-size: {{ section.settings.subheading_font_size }}px;
sections/account-main-account-login.liquid:620: ""id"": ""subheading_font_size"","
CONF-026,basic-content-helper-code-embed,accent_color,dead,DEAD-TOKEN,CONFIRMED DEFECT,RC-16,custom property declared from a setting and read by no rule; inert under exact re-adjudication with every gate open,--q-accent is declared from this setting and read by no rule,FIXED — REQUIRES LIVE SHOPIFY VERIFICATION,Accent controls the frame focus-within indicator.,"sections/basic-content-helper-code-embed.liquid:99: --q-accent: {{ s.accent_color }};
sections/basic-content-helper-code-embed.liquid:262: outline: 2px solid var(--q-accent, currentColor);
sections/basic-content-helper-code-embed.liquid:401: { ""type"": ""color"", ""id"": ""accent_color"", ""label"": ""Accent color"" },"
CONF-027,basic-content-helper-grid-builder,--filled,orphan,DEAD-TOKEN,CONFIRMED DEFECT,RC-16,custom property declared from a setting and read by no rule; inert under exact re-adjudication with every gate open,--filled is declared and read by no CSS rule,NO LONGER APPLICABLE,"Current occurrences are BEM class suffixes, not custom-property declarations. See source trace.","sections/basic-content-helper-grid-builder.liquid:512: #shopify-section-{{ section.id }} .q-btn--filled{
sections/basic-content-helper-grid-builder.liquid:522: #shopify-section-{{ section.id }} .q-btn--filled:hover{
sections/basic-content-helper-grid-builder.liquid:564: #shopify-section-{{ section.id }} .q-btn--filled::after{"
CONF-028,basic-content-helper-grid-builder,--outline,orphan,DEAD-TOKEN,CONFIRMED DEFECT,RC-16,custom property declared from a setting and read by no rule; inert under exact re-adjudication with every gate open,--outline is declared and read by no CSS rule,NO LONGER APPLICABLE,"Current occurrences are BEM class suffixes, not custom-property declarations. See source trace.","sections/basic-content-helper-grid-builder.liquid:533: #shopify-section-{{ section.id }} .q-btn--outline{
sections/basic-content-helper-grid-builder.liquid:543: #shopify-section-{{ section.id }} .q-btn--outline:hover{"
CONF-029,basic-content-helper-grid-builder,--q-accent,orphan,DEAD-TOKEN,CONFIRMED DEFECT,RC-16,custom property declared from a setting and read by no rule; inert under exact re-adjudication with every gate open,--q-accent is declared and read by no CSS rule,FIXED — REQUIRES LIVE SHOPIFY VERIFICATION,Selectors scoped to the current Shopify section in 3D.,"sections/basic-content-helper-grid-builder.liquid:117: --q-accent: {{ s.accent_color }};
sections/basic-content-helper-grid-builder.liquid:129: --q-accent: var(--q-color-accent, #111111);"
CONF-030,basic-content-helper-grid-builder,accent_color,dead,DEAD-TOKEN,CONFIRMED DEFECT,RC-16,custom property declared from a setting and read by no rule; inert under exact re-adjudication with every gate open,--q-accent is declared from this setting and read by no rule,FIXED — REQUIRES LIVE SHOPIFY VERIFICATION,Selectors scoped to the current Shopify section in 3D.,"sections/basic-content-helper-grid-builder.liquid:117: --q-accent: {{ s.accent_color }};
sections/basic-content-helper-grid-builder.liquid:129: --q-accent: var(--q-color-accent, #111111);
sections/basic-content-helper-grid-builder.liquid:720: { ""type"": ""color"", ""id"": ""accent_color"", ""default"": ""#111111"", ""label"": ""Accent"" },"
CONF-031,boxed-content-banner,--a-c-dur,orphan,DEAD-TOKEN,CONFIRMED DEFECT,RC-16,custom property declared from a setting and read by no rule; inert under exact re-adjudication with every gate open,--a-c-dur is declared and read by no CSS rule,NO LONGER APPLICABLE,The current section contains animation shorthands consuming --a-full-dur/ease and --a-c-dur/ease on the emitted animation classes. The original no-consumer diagnosis is contradicted by source.,"sections/boxed-content-banner.liquid:246: --a-c-dur: {{ s.content_duration_ms | default: 700 }}ms;
sections/boxed-content-banner.liquid:247: --a-c-delay: {{ s.content_delay_ms | default: 100 }}ms;
sections/boxed-content-banner.liquid:248: --a-c-ease: {{ ease_content }};
sections/boxed-content-banner.liquid:404: #shopify-section-{{ section.id }} .a-content-fade  { animation: a-fade  var(--a-c-dur) var(--a-c-ease) both; animation-delay: var(--a-c-delay); }
sections/boxed-content-banner.liquid:405: #shopify-section-{{ section.id }} .a-content-zoom  { animation: a-zoom  var(--a-c-dur) var(--a-c-ease) both; animation-delay: var(--a-c-delay); transform-origin: var(--a-c-origin, center); }
sections/boxed-content-banner.liquid:406: #shopify-section-{{ section.id }} .a-content-up    { animation: a-up    var(--a-c-dur) var(--a-c-ease) both; animation-delay: var(--a-c-delay); }
sections/boxed-content-banner.liquid:407: #shopify-section-{{ section.id }} .a-content-left  { animation: a-left  var(--a-c-dur) var(--a-c-ease) both; animation-delay: var(--a-c-delay); }
sections/boxed-content-banner.liquid:408: #shopify-section-{{ section.id }} .a-content-right { animation: a-right var(--a-c-dur) var(--a-c-ease) both; animation-delay: var(--a-c-delay); }"
CONF-032,boxed-content-banner,--a-c-ease,orphan,DEAD-TOKEN,CONFIRMED DEFECT,RC-16,custom property declared from a setting and read by no rule; inert under exact re-adjudication with every gate open,--a-c-ease is declared and read by no CSS rule,NO LONGER APPLICABLE,The current section contains animation shorthands consuming --a-full-dur/ease and --a-c-dur/ease on the emitted animation classes. The original no-consumer diagnosis is contradicted by source.,"sections/boxed-content-banner.liquid:246: --a-c-dur: {{ s.content_duration_ms | default: 700 }}ms;
sections/boxed-content-banner.liquid:247: --a-c-delay: {{ s.content_delay_ms | default: 100 }}ms;
sections/boxed-content-banner.liquid:248: --a-c-ease: {{ ease_content }};
sections/boxed-content-banner.liquid:404: #shopify-section-{{ section.id }} .a-content-fade  { animation: a-fade  var(--a-c-dur) var(--a-c-ease) both; animation-delay: var(--a-c-delay); }
sections/boxed-content-banner.liquid:405: #shopify-section-{{ section.id }} .a-content-zoom  { animation: a-zoom  var(--a-c-dur) var(--a-c-ease) both; animation-delay: var(--a-c-delay); transform-origin: var(--a-c-origin, center); }
sections/boxed-content-banner.liquid:406: #shopify-section-{{ section.id }} .a-content-up    { animation: a-up    var(--a-c-dur) var(--a-c-ease) both; animation-delay: var(--a-c-delay); }
sections/boxed-content-banner.liquid:407: #shopify-section-{{ section.id }} .a-content-left  { animation: a-left  var(--a-c-dur) var(--a-c-ease) both; animation-delay: var(--a-c-delay); }
sections/boxed-content-banner.liquid:408: #shopify-section-{{ section.id }} .a-content-right { animation: a-right var(--a-c-dur) var(--a-c-ease) both; animation-delay: var(--a-c-delay); }"
