ID,Severity,Phase,Document,Where,Finding,Detail,Evidence,Consequence,Recommended fix,Root cause,V1.0 severity,In launch scope,Phase 3 status,Phase 3 notes
P2-03,high,Section block layer (Docs 2-10),3,"sub-banner-transparent, transparent-hero-banner",Gradient overlay renders invalid CSS in the default configuration,"The template writes rgba({{ colour | color_to_rgb }}, {{ opacity | divided_by: 100.0 }}). Shopify's color_to_rgb returns a complete rgb(r, g, b) string, not bare components, so the result nests one colour function inside another.","Rendered output: linear-gradient(180deg, rgba(rgb(0, 0, 0), 0.6), rgba(rgb(0, 0, 0), 0)) -- invalid CSS, silently not painted. 4 instances across the two sections (sub-banner-transparent lines 332 and 389; transparent-hero-banner x2).","overlay_type defaults to 'gradient' in both sections, so the default overlay is broken out of the box. Text contrast over imagery depends on this overlay.","Use color_modify: 'alpha' to build the colour, or interpolate the components rather than wrapping color_to_rgb output in rgba().",RC-09,V1.0 MUST FIX,yes,FIXED — REQUIRES LIVE SHOPIFY VERIFICATION,See root-cause implementation map and grouped commits. Shopify rendering remains unverified.
P2-04,high,Section block layer (Docs 2-10),3,sub-banner-transparent,Slide ships pointing at https://example.com/video.mp4,"The slide block's video_url setting carries that URL as its schema default. The media chain begins {% if b.video_url != blank %}, which is therefore permanently true for a freshly added section.","Rendering a default slide produces a <video autoplay muted loop> element with <source src=""https://example.com/video.mp4"">.","Two problems at once: the section renders a broken video on install, and the image and background-colour branches below it are unreachable until the merchant manually empties the field, which nothing in the editor signals.","Remove the default from video_url. Placeholder content belongs in a preset, not in a schema default that changes which branch runs.",RC-11,V1.0 MUST FIX,yes,FIXED — REQUIRES LIVE SHOPIFY VERIFICATION,See root-cause implementation map and grouped commits. Shopify rendering remains unverified.
P2-06,high,Section block layer (Docs 2-10),3,multipurpose-hero-banner,The parent_slide defect strands twelve further settings,"Already reported at section level. product and content_column blocks are matched to a slide with `where: 'settings.parent_slide', slide_id`, where slide_id is the slide block's internal Shopify id. A merchant has no way to know that value, so the match never succeeds.","Newly quantified this pass. Unreachable as a direct consequence: extra_grid_cols, extra_grid_gap, product.parent_slide, product.show_price, product.show_button, product.button_text, content_column.parent_slide, content_column.icon, content_column.title, content_column.text -- plus the --q-cols and --q-gap tokens that feed the product grid, which are consumed correctly but never emitted.",Two entire block types in this section are inert for every merchant. This single defect accounts for more dead controls than any other in the theme.,"Replace the typed id with a select populated from the slide blocks, or scope the child blocks under their slide instead of matching by id.",RC-14,V1.0 MUST FIX,yes,FIXED — REQUIRES LIVE SHOPIFY VERIFICATION,See root-cause implementation map and grouped commits. Shopify rendering remains unverified.
P2-07,high,Section block layer (Docs 2-10),4,call-to-action-banner,The badge block type is never rendered,"The badge block is declared in the schema with badge_text and badge_icon, and the section carries CSS for it (.qcta__badges, .qcta__badge). No branch anywhere in the section renders a block of type 'badge'.",Checked across all ten combinations of the two settings that govern layout (layout_variant x mode). A probe string placed in badge_text never appears in the output.,"The Web3 preset ships three badge blocks pre-filled with 'Non-custodial', 'Gas-optimized' and 'Secure'. A merchant installing that preset gets three badges in the editor that display nothing.","Render the badge blocks in the web3 layout branch, where the CSS clearly expects them.",RC-10,V1.0 MUST FIX,yes,FIXED — REQUIRES LIVE SHOPIFY VERIFICATION,See root-cause implementation map and grouped commits. Shopify rendering remains unverified.
P2-09,high,Section block layer (Docs 2-10),4,call-to-action-banner,Broken filter chain renders 'background: 0' in two places,"Line 425 (block-level content panel) writes: background: {{ panel_color | color_modify: 'alpha', panel_opacity | divided_by: 100.0 }}. Liquid applies filters left to right across the whole chain and cannot nest a filter inside another filter's argument, so divided_by: 100.0 is applied to the OUTPUT of color_modify -- a colour string -- rather than to panel_opacity. Line 159 makes the identical mistake at section level with content_overlay_color and content_overlay_opacity.","Rendered at three colours and three opacities; every combination produced the literal `background: 0;`. backdrop-filter, border-radius and padding on the same element still work, which is exactly why only the colour and opacity controls measured dead.","The content panel and the section content overlay both render with no background whatsoever. Four merchant controls (panel colour, panel opacity, overlay colour, overlay opacity) do nothing. The section-level pair also means this slipped past section-level testing.","Compute the alpha into a variable first: {%- assign a = panel_opacity | divided_by: 100.0 -%} then color_modify: 'alpha', a.",RC-09,V1.0 MUST FIX,yes,FIXED — REQUIRES LIVE SHOPIFY VERIFICATION,See root-cause implementation map and grouped commits. Shopify rendering remains unverified.
P2-11,high,Section block layer (Docs 2-10),1,layout/theme.liquid,Missing snippet rendered from the layout — superseded by P5-01,"Originally reported as a missing file. The file exists as snippets/utilities.liquid; the layout renders 'utilities.css', a rename that was never followed through. SUPERSEDED BY P5-01, which carries the corrected diagnosis and the one-character fix. Retained here so the record shows the correction rather than hiding it.",Theme-wide scan of every render/include target against snippets/ on disk. Confirmed absent from both snippets/ and assets/.,Site-wide fatal render error. Also a category error: a stylesheet is being pulled in as a snippet.,See P5-01. Change the call to {% render 'utilities' %}.,RC-01,LAUNCH BLOCKER,yes,FIXED — REQUIRES LIVE SHOPIFY VERIFICATION,See root-cause implementation map and grouped commits. Shopify rendering remains unverified.
P2-13,high,Section block layer (Docs 2-10),9,snippets/collection-modern-active-filters.liquid,Snippet renders a name that does not exist,"Line 50 calls {% render 'collection-modern-utils' %}. The file on disk is section-collection-modern-utils.liquid, and that file's own header comment still reads 'File: snippets/collection-modern-utils.liquid' -- the file was renamed and neither the reference nor the comment was updated.",Theme-wide scan of render targets against snippets/ on disk.,"Fatal render error wherever active filters are shown, breaking the collection filter UI.",Change the reference to 'section-collection-modern-utils' and correct the stale header comment.,RC-01,LAUNCH BLOCKER,yes,FIXED — REQUIRES LIVE SHOPIFY VERIFICATION,See root-cause implementation map and grouped commits. Shopify rendering remains unverified.
P2-20,high,Section block layer (Docs 2-10),10,product-block-section,All three product-page presets install an empty layout,"The section is a theme-block container. Its three presets -- 'Standard product', 'Conversion product' and 'Story product' -- each build product-layout-row > product-layout-column and stop there. No content block is nested inside any column, even though blocks/product-layout-column.liquid renders {% content_for 'blocks' %} and exists to hold them.","Rendered all three presets: the row and column markup and their CSS custom properties emit correctly, `data-shopify-editor-block` attributes are present, and every column's inner div is empty -- 0 characters of visible text in all three. The sibling section block-section, built the same way, nests content-heading, content-rich-text, content-button, content-badge and content-icon-list in its columns and renders 268, 1551 and 1509 characters respectively.","A merchant choosing any product-page preset gets a page with no gallery, title, price or add-to-cart -- structure and nothing else. That block-section next door does this correctly makes it an oversight rather than a deliberate blank canvas.","Nest the product content blocks inside the columns of each preset, the way block-section's presets do. The block files already exist in blocks/.",RC-10,V1.0 MUST FIX,yes,FIXED — REQUIRES LIVE SHOPIFY VERIFICATION,Existing three builder presets now contain admitted gallery/title/price/form/description blocks. Saved templates/settings_data were not rewritten.
P4-01,high,Block setters & blocks (Doc 11),Blocks,blocks/layout-column.liquid,49 of the 61 content blocks cannot be placed on a normal page,"The general content builder is block-section > layout-row > layout-column > content blocks. layout-column's schema names exactly 12 accepted block types (content-alert, badge, button, button-group, code, divider, heading, icon, icon-list, quote, rich-text, spacer) and does not declare {""type"": ""@theme""}. The theme ships 61 content-* blocks, so 49 of them -- content-testimonials, content-logo-cloud, content-newsletter, content-marquee, content-timeline, content-accordion, content-featured-product, content-product-grid, content-tabs, content-stats-counter and the rest -- can never be added to a page built with block-section.","Compared layout-column's accepted types against blocks/ on disk. The only container in the theme that accepts everything is product-layout-column, which declares @theme -- and that one lives inside product-block-section, i.e. product templates. All 102 blocks render correctly standalone, so this is purely an availability gap, not a rendering fault.","A merchant building a homepage or landing page with the block setter has 12 primitives available -- heading, text, button, divider, spacer and a few more -- while the marketing blocks the theme actually ships sit unreachable. Their only route is inside a product layout column on a product template, which is the wrong place for a testimonial wall or a logo cloud.","Add {""type"": ""@theme""} to layout-column's blocks array, as product-layout-column already does, or name the missing content-* types explicitly.",RC-02,LAUNCH BLOCKER,yes,FIXED — REQUIRES LIVE SHOPIFY VERIFICATION,See root-cause implementation map and grouped commits. Shopify rendering remains unverified.
P4-03,high,Block setters & blocks (Doc 11),Infrastructure,assets/,13 referenced assets do not exist on disk,"Files referenced through asset_url that are absent from assets/: account-main-account-login.css, account-main-account-order-tracking.js, account-main-account-register.js, cart-drawer.js, global.js, predictive-search.css, q-base.css, section-product-recently-viewed.css, section-product-recently-viewed.js, section-product-recommended.js, section-product-reviews.css, social-media.css, transparent-hero-banner.css.","Every asset_url reference across sections/, snippets/, blocks/ and layout/ compared against assets/ on disk: 80 referenced, 13 missing.","Shopify serves a 404 for each, so the styling or behaviour they carry is simply absent. global.js and cart-drawer.js are referenced from the layout, so they affect every page. q-base.css is the likely cause of P4-02.","Add the files, or remove the references. This overlaps the infrastructure audit in Document 1 and should be reconciled with it.",RC-01,LAUNCH BLOCKER,yes,FIXED — REQUIRES LIVE SHOPIFY VERIFICATION,See root-cause implementation map and grouped commits. Shopify rendering remains unverified.
P5-01,high,"Snippets, architecture, accessibility (Doc 12)",Misc,layout/theme.liquid,The site-wide render error is a rename that was never followed through,"Line 71 calls {% render 'utilities.css' %}. The file exists as snippets/utilities.liquid, and its own first line is a leftover comment reading 'snippets/utilities.css.liquid' -- the file was renamed and the reference was not. Shopify emits a Liquid error at that point rather than failing the page, so the effect is that the utilities stylesheet never loads anywhere.","snippets/utilities.liquid is present and 1,237 bytes. It defines .container, .section-pad and the .h1-.h6 type scale. The .container class alone is used in 15 files.","Those rules are absent on every page of the store, and an error string is injected into the layout's <style> block. This corrects and supersedes the earlier reading of this defect, which assumed the file was missing.",Change the call to {% render 'utilities' %}. One character.,RC-01,LAUNCH BLOCKER,yes,FIXED — REQUIRES LIVE SHOPIFY VERIFICATION,See root-cause implementation map and grouped commits. Shopify rendering remains unverified.
P5-02,high,"Snippets, architecture, accessibility (Doc 12)",Misc,31 files,"73 image alt-text fallbacks never fire, so images ship with empty alt","The pattern `{{ media | image_url: width: 900 | image_tag: loading: 'lazy', alt: media.alt | default: 'Product image' }}` appears 73 times across 31 files. Liquid parses the chain as image_tag(...) then default(...), so the trailing filter binds to the <img> string -- which is never empty -- and the alt fallback is discarded. 68 sites use | default:, 5 use | append:.","Rendered directly with an empty alt source: output is <img src=""..."" loading=""lazy"" alt="""">. The | append: variant is the confirmed ' photo' text leak in call-to-action-reviews. Concentrated where product imagery lives: product-gallery (6), content-product-recommendations (6), content-product-carousel (4), content-product-grid (4).","When a merchant has not typed alt text -- the common case -- the image renders alt="""", which assistive technology treats as decorative and skips. WCAG 2.1 AA 1.1.1 failure on product and content imagery.",Compute the alt into a variable first: {%- assign alt = media.alt | default: 'Product image' -%} then alt: alt.,RC-04,LAUNCH BLOCKER,yes,FIXED — REQUIRES LIVE SHOPIFY VERIFICATION,See root-cause implementation map and grouped commits. Shopify rendering remains unverified.
P5-03,high,"Snippets, architecture, accessibility (Doc 12)",Misc,3rd-party-powered-by,"The section renders white text on a transparent background, out of the box","The section's CSS falls back to `background: var(--q-powered-bg, var(--q-section-bg, transparent))` and `color: var(--q-powered-muted, var(--q-section-muted, rgba(255,255,255,.72)))`. --q-powered-* is only defined when use_custom_colors is on, and that defaults to false. --q-section-muted is set by no file in the theme and --q-section-bg only by three unrelated sections. So the fallbacks apply: no background, white text.","Rendered and measured: 11 text nodes at a contrast ratio of 1.00 against their effective background, every ancestor transparent, no image or painted element behind them.",A merchant adds the section and sees nothing. WCAG 1.4.3 failure at the most extreme possible ratio.,"Give the section real default colours rather than dark-theme fallbacks, or implement the .q-section--bg-* system described in P5-04.",RC-11,V1.0 MUST FIX,yes,FIXED — REQUIRES LIVE SHOPIFY VERIFICATION,See root-cause implementation map and grouped commits. Shopify rendering remains unverified.
P6-02,high,Misc QA (Doc 14),14,featured-content-blog-spotlight,Kicker letter-spacing is applied 100x too wide because the divide-by-100 the label promises is missing,"Line 131 emits `--q-bhs-kicker-ls: {{ section.settings.kicker_ls }}em;`. The setting's own label is ""Kicker letter spacing (x100)"" and its default is 8, i.e. the author's intent is 0.08em. There is no `| divided_by: 100` on this line. The sibling section featured-content-sale-highlight declares the same setting with the same label and does divide (`| divided_by: 100.0`), and featured-content-testimonial-highlight uses `| times: 0.01`.","Rendered at 1440px with theme defaults: computed letter-spacing on the kicker is 96px at a 12px font size. The correctly-written sibling featured-content-sale-highlight measures 1.04px on the same element class. The section also overflows the viewport horizontally at 320px and 375px, which is how it was found.","The kicker reads as single letters spread across the full width of the screen out of the box, and causes horizontal scroll on phones. No merchant setting can fix it: the range is 0-20 step 1, so the smallest non-zero value is 1em.","Append `| divided_by: 100.0` to line 131, matching featured-content-sale-highlight.",RC-07,V1.0 MUST FIX,yes,FIXED — REQUIRES LIVE SHOPIFY VERIFICATION,See root-cause implementation map and grouped commits. Shopify rendering remains unverified.
P6-03,high,Misc QA (Doc 14),14,product-bundles,"Kicker letter-spacing default of 6 is emitted as 6em, spreading the kicker to 479px","Line 133 emits `letter-spacing: {{ s.kicker_letter_spacing }}em;`. The schema declares `{""type"":""range"",""id"":""kicker_letter_spacing"",""label"":""Kicker letter spacing (em)"",""min"":0,""max"":20,""step"":1,""default"":6}`. Unlike the six sibling sections that carry the same control, this one has no ×100 scaling anywhere — but it kept the ×100-style default of 6.","Rendered at 1440px: computed letter-spacing 72px at a 12px font size. At a 320px viewport the string ""Bundle & Save"" measures 479px in a 270px box, producing document scrollWidth 504 against a 320px viewport. Same failure at 375px.","Out of the box the section's kicker is unreadable and the section scrolls sideways on phones. The three sibling controls on the same section (heading_letter_spacing, subheading_letter_spacing, description_letter_spacing) share the fault but default to 0, so they are latent: any merchant who moves those sliders one notch gets 1em.","Either divide all four by 100 and keep the integer ranges, or change the ranges to min 0 / max 0.2 / step 0.01 and reset the kicker default to 0.06.",RC-07,V1.0 MUST FIX,yes,FIXED — REQUIRES LIVE SHOPIFY VERIFICATION,See root-cause implementation map and grouped commits. Shopify rendering remains unverified.
