Section,Setting or token,Candidate kind,Trace verdict,Disposition,Root cause,Why,Trace detail
3rd-party-metaobject-supplier,show_short_description,dead,GATED-SIBLING,REQUIRES LIVE VERIFICATION,,section renders thin; nothing on the page to affect (rig #30),only reached under `s.use_custom_colors`
3rd-party-metaobject-supplier,show_website_button,dead,GATED-SIBLING,REQUIRES LIVE VERIFICATION,,section renders thin; nothing on the page to affect (rig #30),only reached under `s.use_custom_colors`
3rd-party-metaobject-supplier,storefront_button_variant,placement,GATED-SIBLING,REQUIRES LIVE VERIFICATION,,section renders thin; nothing on the page to affect (rig #30),only reached under `s.use_custom_colors`
3rd-party-metaobject-supplier,website_button_variant,placement,GATED-SIBLING,REQUIRES LIVE VERIFICATION,,section renders thin; nothing on the page to affect (rig #30),only reached under `s.use_custom_colors`
3rd-party-partner-fulfillment-strip,max_items,dead,GATED-SIBLING,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone",only reached under `s.kicker != blank`
3rd-party-partner-fulfillment-strip,show_view_all_link,dead,DEAD,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone","referenced and reachable, yet no option changed the rendered page"
3rd-party-partner-fulfillment-strip,sort_order,placement,DEAD,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone","referenced and reachable, yet no option changed the rendered page"
3rd-party-partner-fulfillment-strip,view_all_url_mode,placement,DEAD,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone","referenced and reachable, yet no option changed the rendered page"
3rd-party-powered-by,cta_show_icon,dead,GATED-SIBLING,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone",only reached under `s.show_border`
3rd-party-powered-by,cta_style,placement,GATED-SIBLING,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone",only reached under `s.kicker != blank`
3rd-party-powered-by,open_links_in_new_tab,dead,GATED-SIBLING,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone",only reached under `s.show_border`
3rd-party-region-availability,append_regions_label_to_heading,dead,GATED-SIBLING,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone",only reached under `s.use_custom_colors`
3rd-party-region-availability,cart_message_mode,placement,GATED-MULTI,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone",needs more than one condition true at once: `is_cart and s.show_on_cart`
3rd-party-region-availability,cart_show_duty_notice,dead,DEAD,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone","referenced and reachable, yet no option changed the rendered page"
3rd-party-region-availability,duty_notice_mode,placement,DEAD,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone","referenced and reachable, yet no option changed the rendered page"
3rd-party-region-availability,icon_source,placement,GATED-SIBLING,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone",only reached under `s.show_icon`
3rd-party-region-availability,region_message_mode,placement,GATED-SIBLING,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone",only reached under `s.enable_section`
3rd-party-region-availability,show_generic_when_no_supplier_data,dead,GATED-MULTI,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone",needs more than one condition true at once: `is_product and product != blank and s.show_on_product`
3rd-party-region-availability,show_icon,dead,DEAD,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone","referenced and reachable, yet no option changed the rendered page"
3rd-party-region-availability,show_on_product,dead,GATED-SIBLING,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone",only reached under `s.enable_section`
3rd-party-region-availability,show_secondary_line,dead,DEAD,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone","referenced and reachable, yet no option changed the rendered page"
3rd-party-rewards-program-cta,custom_bg_color,dead,GATED-SIBLING,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone",only reached under `s.enable_section`
3rd-party-warehouse-merch,accent_color,dead,DEAD-ORPHAN,REQUIRES LIVE VERIFICATION,,section renders nearly empty; nothing on the page to affect (rig #30),"id appears nowhere in the section, its snippets or its CSS"
3rd-party-warehouse-merch,card_bg_color,dead,GATED-MULTI,REQUIRES LIVE VERIFICATION,,section renders nearly empty; nothing on the page to affect (rig #30),needs more than one condition true at once: `s.show_warehouse_chip and wh_label != blank and s.chip_position != 'below_title'`
3rd-party-warehouse-merch,chip_bg_color,dead,GATED-MULTI,REQUIRES LIVE VERIFICATION,,section renders nearly empty; nothing on the page to affect (rig #30),needs more than one condition true at once: `s.show_warehouse_chip and wh_label != blank and s.chip_position == 'below_title'`
3rd-party-warehouse-merch,chip_position,placement,GATED-MULTI,REQUIRES LIVE VERIFICATION,,section renders nearly empty; nothing on the page to affect (rig #30),needs more than one condition true at once: `s.source_mode == 'force_collection' and s.force_collection != blank`
3rd-party-warehouse-merch,chip_text_color,dead,GATED-MULTI,REQUIRES LIVE VERIFICATION,,section renders nearly empty; nothing on the page to affect (rig #30),needs more than one condition true at once: `s.show_warehouse_chip and wh_label != blank and s.chip_position == 'below_title'`
3rd-party-warehouse-merch,columns_desktop,dead,GATED-SIBLING,REQUIRES LIVE VERIFICATION,,section renders nearly empty; nothing on the page to affect (rig #30),only reached under `shown >= s.max_products`
3rd-party-warehouse-merch,max_products,dead,GATED-MULTI,REQUIRES LIVE VERIFICATION,,section renders nearly empty; nothing on the page to affect (rig #30),needs more than one condition true at once: `s.source_mode == 'force_collection' and s.force_collection != blank`
3rd-party-warehouse-merch,muted_text_color,dead,GATED-MULTI,REQUIRES LIVE VERIFICATION,,section renders nearly empty; nothing on the page to affect (rig #30),needs more than one condition true at once: `s.show_warehouse_chip and wh_label != blank and s.chip_position == 'below_title'`
3rd-party-warehouse-merch,show_warehouse_chip,dead,GATED-MULTI,REQUIRES LIVE VERIFICATION,,section renders nearly empty; nothing on the page to affect (rig #30),needs more than one condition true at once: `s.source_mode == 'force_collection' and s.force_collection != blank`
3rd-party-warehouse-merch,text_color,dead,GATED-MULTI,REQUIRES LIVE VERIFICATION,,section renders nearly empty; nothing on the page to affect (rig #30),needs more than one condition true at once: `s.show_warehouse_chip and wh_label != blank and s.chip_position == 'below_title'`
account-main-account-orders,button_style,placement,GATED-SIBLING,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone",only reached under `section.settings.empty_text != blank`
account-main-account-orders,orders_per_page,dead,GATED-SIBLING,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone",only reached under `section.settings.subheading != blank`
basic-content-helper-code-embed,aspect_ratio,placement,DEAD,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone","referenced and reachable, yet no option changed the rendered page"
basic-content-helper-code-embed,aspect_ratio_custom,dead,DEAD,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone","referenced and reachable, yet no option changed the rendered page"
basic-content-helper-code-embed,bg_color,dead,GATED-SIBLING,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone",only reached under `s.frame_border`
basic-content-helper-code-embed,text_color,dead,GATED-SIBLING,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone",only reached under `s.frame_border`
basic-content-helper-column-builder,btn_border,dead,DEAD,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone","referenced and reachable, yet no option changed the rendered page"
basic-content-helper-column-builder,btn_fg,dead,DEAD,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone","referenced and reachable, yet no option changed the rendered page"
basic-content-helper-column-builder,btn_pad_x,placement,DEAD,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone","referenced and reachable, yet no option changed the rendered page"
basic-content-helper-column-builder,btn_pad_y,placement,DEAD,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone","referenced and reachable, yet no option changed the rendered page"
basic-content-helper-column-builder,btn_radius,placement,DEAD,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone","referenced and reachable, yet no option changed the rendered page"
basic-content-helper-column-builder,btn_transition,placement,DEAD,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone","referenced and reachable, yet no option changed the rendered page"
basic-content-helper-column-builder,columns_tablet,dead,DEAD,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone","referenced and reachable, yet no option changed the rendered page"
basic-content-helper-column-builder,icon_size,placement,DEAD,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone","referenced and reachable, yet no option changed the rendered page"
basic-content-helper-column-builder,link_color,dead,DEAD,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone","referenced and reachable, yet no option changed the rendered page"
basic-content-helper-column-builder,media_fit,placement,DEAD,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone","referenced and reachable, yet no option changed the rendered page"
basic-content-helper-column-builder,media_max_h,placement,DEAD,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone","referenced and reachable, yet no option changed the rendered page"
basic-content-helper-column-builder,media_radius,placement,DEAD,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone","referenced and reachable, yet no option changed the rendered page"
basic-content-helper-column-builder,media_ratio,placement,GATED-SIBLING,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone",only reached under `s.title != blank`
basic-content-helper-column-builder,pad_x,placement,DEAD,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone","referenced and reachable, yet no option changed the rendered page"
basic-content-helper-column-builder,pad_y,placement,DEAD,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone","referenced and reachable, yet no option changed the rendered page"
basic-content-helper-column-builder,tile_border_width,placement,DEAD,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone","referenced and reachable, yet no option changed the rendered page"
basic-content-helper-column-builder,tile_inner_gap,placement,DEAD,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone","referenced and reachable, yet no option changed the rendered page"
basic-content-helper-column-builder,tile_pad,placement,DEAD,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone","referenced and reachable, yet no option changed the rendered page"
basic-content-helper-column-builder,tile_radius,placement,DEAD,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone","referenced and reachable, yet no option changed the rendered page"
basic-content-helper-column-builder,tile_shadow,placement,DEAD,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone","referenced and reachable, yet no option changed the rendered page"
basic-content-helper-column-builder,tile_surface,placement,DEAD,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone","referenced and reachable, yet no option changed the rendered page"
basic-content-helper-grid-builder,columns_tablet,dead,DEAD,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone","referenced and reachable, yet no option changed the rendered page"
basic-content-helper-section-divider,line_thickness,placement,DEAD,REQUIRES LIVE VERIFICATION,,section renders nearly empty; nothing on the page to affect (rig #30),"referenced and reachable, yet no option changed the rendered page"
basic-content-helper-section-divider,max_width,placement,DEAD,REQUIRES LIVE VERIFICATION,,section renders nearly empty; nothing on the page to affect (rig #30),"referenced and reachable, yet no option changed the rendered page"
basic-content-helper-section-divider,pad_x,placement,DEAD,REQUIRES LIVE VERIFICATION,,section renders nearly empty; nothing on the page to affect (rig #30),"referenced and reachable, yet no option changed the rendered page"
basic-content-helper-section-divider,space_above,placement,DEAD,REQUIRES LIVE VERIFICATION,,section renders nearly empty; nothing on the page to affect (rig #30),"referenced and reachable, yet no option changed the rendered page"
basic-content-helper-section-divider,space_below,placement,DEAD,REQUIRES LIVE VERIFICATION,,section renders nearly empty; nothing on the page to affect (rig #30),"referenced and reachable, yet no option changed the rendered page"
basic-content-helper-text-centered-full-width,surface,placement,GATED-SIBLING,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone",only reached under `s.use_custom_colors`
call-to-action-audience-source,columns_tablet,dead,DEAD,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone","referenced and reachable, yet no option changed the rendered page"
call-to-action-audience-source,grad_angle,dead,GATED-SIBLING,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone",only reached under `s.background_image != blank`
call-to-action-audience-source,grad_end,dead,GATED-SIBLING,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone",only reached under `s.background_image != blank`
call-to-action-audience-source,grad_start,dead,GATED-SIBLING,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone",only reached under `s.hide_on_desktop`
call-to-action-audience-source,grad_start_opacity,dead,GATED-SIBLING,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone",only reached under `s.background_image != blank`
call-to-action-banner,content_overlay_color,dead,GATED-SIBLING,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone",only reached under `s.layout_variant == 'web3'`
call-to-action-banner,grad_angle,dead,DEAD,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone","referenced and reachable, yet no option changed the rendered page"
call-to-action-banner,grad_end,dead,DEAD,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone","referenced and reachable, yet no option changed the rendered page"
call-to-action-banner,grad_start,dead,DEAD,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone","referenced and reachable, yet no option changed the rendered page"
call-to-action-banner,grad_start_opacity,dead,DEAD,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone","referenced and reachable, yet no option changed the rendered page"
call-to-action-banner,layout_dir,placement,GATED-SIBLING,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone",only reached under `s.mode == 'plain'`
call-to-action-banner,overlay_color,dead,DEAD,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone","referenced and reachable, yet no option changed the rendered page"
call-to-action-banner,overlay_opacity,dead,DEAD,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone","referenced and reachable, yet no option changed the rendered page"
call-to-action-banner,overlay_type,placement,GATED-SIBLING,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone",only reached under `s.mode == 'plain'`
call-to-action-banner,prod_media_aspect,placement,DEAD,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone","referenced and reachable, yet no option changed the rendered page"
call-to-action-banner,prod_media_max_h_desktop,dead,DEAD,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone","referenced and reachable, yet no option changed the rendered page"
call-to-action-banner,prod_media_max_h_mobile,dead,DEAD,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone","referenced and reachable, yet no option changed the rendered page"
call-to-action-banner,prod_media_mode,placement,DEAD,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone","referenced and reachable, yet no option changed the rendered page"
call-to-action-banner,video_autoplay,dead,GATED-SIBLING,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone",only reached under `s.mode == 'plain'`
call-to-action-banner,video_loop,dead,GATED-SIBLING,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone",only reached under `s.mode == 'plain'`
call-to-action-banner,video_muted,dead,GATED-SIBLING,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone",only reached under `s.mode == 'plain'`
call-to-action-card-stack,background_color,dead,GATED-SIBLING,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone",only reached under `s.anchor_id != blank`
call-to-action-card-stack,grad_angle,dead,GATED-SIBLING,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone",only reached under `s.anchor_id != blank`
call-to-action-card-stack,grad_end,dead,GATED-SIBLING,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone",only reached under `s.anchor_id != blank`
call-to-action-card-stack,grad_start,dead,GATED-SIBLING,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone",only reached under `s.anchor_id != blank`
call-to-action-card-stack,grad_start_opacity,dead,GATED-SIBLING,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone",only reached under `s.anchor_id != blank`
call-to-action-collection,image_source,placement,GATED-SIBLING,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone",only reached under `s.image_ratio`
call-to-action-collection,masonry_variant,placement,DEAD,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone","referenced and reachable, yet no option changed the rendered page"
call-to-action-collection,overlay_style,placement,GATED-SIBLING,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone",only reached under `s.eyebrow != blank`
call-to-action-collection,section_bg_token,placement,GATED-SIBLING,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone",only reached under `s.layout == 'grid_overlay' or s.layout == 'masonry_overlay'`
call-to-action-collection,section_overlay_opacity,dead,GATED-SIBLING,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone",only reached under `s.layout == 'grid_overlay' or s.layout == 'masonry_overlay'`
call-to-action-icon-list,btn_bg_hover,dead,DEAD,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone","referenced and reachable, yet no option changed the rendered page"
call-to-action-icon-list,btn_text_hover,dead,DEAD,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone","referenced and reachable, yet no option changed the rendered page"
call-to-action-newsletter-form,grad_angle,dead,GATED-SIBLING,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone",only reached under `s.destination == 'custom_endpoint'`
call-to-action-newsletter-form,grad_end,dead,GATED-SIBLING,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone",only reached under `s.destination == 'custom_endpoint'`
call-to-action-newsletter-form,grad_start,dead,GATED-SIBLING,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone",only reached under `s.destination == 'custom_endpoint'`
call-to-action-newsletter-form,grad_start_opacity,dead,GATED-SIBLING,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone",only reached under `s.destination == 'custom_endpoint'`
call-to-action-newsletter-form,split_media_side,placement,GATED-SIBLING,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone",only reached under `s.destination == 'custom_endpoint'`
call-to-action-quote-form,grad_angle,dead,GATED-SIBLING,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone",only reached under `s.bg_image != blank`
call-to-action-quote-form,grad_end,dead,GATED-SIBLING,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone",only reached under `s.bg_image != blank`
call-to-action-quote-form,grad_start,dead,GATED-SIBLING,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone",only reached under `s.bg_image != blank`
call-to-action-quote-form,grad_start_opacity,dead,GATED-SIBLING,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone",only reached under `s.bg_image != blank`
call-to-action-quote-form,split_media_side,placement,GATED-SIBLING,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone",only reached under `s.bg_image != blank`
call-to-action-reviews,autoplay,dead,GATED-MULTI,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone",needs more than one condition true at once: `s.background_image != blank or s.background_video != blank`
call-to-action-reviews,button_border_color,dead,DEAD,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone","referenced and reachable, yet no option changed the rendered page"
call-to-action-reviews,button_mode,placement,DEAD,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone","referenced and reachable, yet no option changed the rendered page"
call-to-action-reviews,button_text_color,dead,DEAD,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone","referenced and reachable, yet no option changed the rendered page"
call-to-action-reviews,grad_angle,dead,GATED-MULTI,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone",needs more than one condition true at once: `s.background_image != blank or s.background_video != blank`
