Type,Component,File,Family,Dependencies,CSS Asset,JS Asset,Consumers,Schema Valid,Settings Reviewed,Preset Reviewed,Responsive Reviewed,Accessibility Reviewed,Multi-Instance Reviewed,Theme Editor Reviewed,Theme Check Reviewed,Final Disposition,Changes,Live Verification Needed,Notes
sections,video-hero-banner,sections/video-hero-banner.liquid,2 Hero / Banner / CTA,,,video-hero-banner.js,templates/page.playground.liquid,YES,SOURCE REVIEWED; live pending,DEFAULTS/LIQUID FIXTURE REVIEWED; live pending,SOURCE ONLY; live pending,SOURCE/DOM REVIEWED; live pending,DOM FIXTURE PASS,LOAD/UNLOAD FIXTURE PASS; live pending,REVIEWED; existing debt retained,REQUIRES LIVE VERIFICATION,"Removed demonstration media/links from defaults; deferred media, persistent pause, reduced-motion/visibility/editor lifecycle.","B2-HERO-MEDIA: responsive layouts, actual merchant data, media providers and real editor; product variants/selling plans/native and drawer cart.",Offline fixtures are not live Shopify certification.
sections,web3-hero-banner,sections/web3-hero-banner.liquid,2 Hero / Banner / CTA,snippets/section-empty-state.liquid,,web3-hero-banner.js,templates/page.playground.liquid,YES,SOURCE REVIEWED; actual Liquid fixtures PASS,Actual insertion fixtures PASS; live pending,SOURCE/DOM reviewed; browser widths pending,SOURCE/DOM controls PASS; real keyboard/screen reader pending,Two-instance source/DOM fixture PASS,Lifecycle/source fixture PASS; actual editor pending,CLI 4.8.0 checkpoint compared; existing debt retained,REQUIRES LIVE VERIFICATION,"Configured primary URL; repaired gradient/glow colors, outline/gradient button styles, zero values, shadow false, full-height alignment, background description, no-JS slides, wrapped dots and neutral insertion slides; existing disposable motion preserved.","B2-FINAL: 1440/1280/768/390/320px, configured and blank media/links, long content, keyboard/screen reader, multiple instances, real editor add/remove/reorder, reduced motion. Provider app blocks and uploaded icons require actual installed resources.",Source closure at batch2-closure checkpoint; fixture/DOM checks do not certify Shopify or browser behavior.
blocks,content-accordion,blocks/content-accordion.liquid,8 Theme Blocks,,,,,YES,SOURCE all 54 settings/defaults/options; direct/dynamic/helper consumers individually traced; control matrix PASS,All three actual presets and defaults plus select/checkbox/range endpoints PASS; preserved prior setting IDs and truthful insertion defaults,"SOURCE/DOM all select/checkbox/range endpoints, bounded panel/nav/table/media widths, long-content wrapping, mobile vertical-to-horizontal orientation and media ordering PASS; actual pixels/scroll/zoom queued","SOURCE/DOM native details and dialog markup, progressive visible content, tab roles/roving focus/arrows/Home/End/RTL/hash, named media/links/table regions, focus restoration and reduced motion PASS; native browser inert/focus trapping/AT queued","Actual two-instance tab/disclosure/dialog fixtures, isolated selection, media retirement/restoration, singleton duplicate execution and independent native IDs PASS","Native outer wrapper owns editor metadata; visibility/motion bypass and actual empty guidance, late insertion, load/unload/reload/reorder/select with controller disposal PASS; native Theme Editor queued",Unsuppressed CLI 4.8.0 evidence/comparison in batch8-panels; no scanner suppression; group errors checked explicitly,REQUIRES LIVE VERIFICATION,"Individually reviewed all controls and three presets. Native details/summary remains functional without JavaScript; single-open naming and shared fallback respect the first actual populated item and explicit initial-open settings. Escaped icons, safe fallback titles, neutral insertion defaults, editor-only empty guidance, one native editor wrapper and design visibility/motion bypass repaired. Shared controller restores paused embeds when reopened and disposes instance listeners.","B8-PANELS live queue after engineering batches: native Theme Editor insert/select/reorder/load/unload; browser details grouping, dialog top layer/inert/focus trapping/AT and scroll; actual YouTube/Vimeo/video playback and retirement; native metafield image/video/rich formatting, chart/table 320/390/768/1280/1440px, no-JS/RTL/zoom/reduced motion. All prior queues remain; no live Shopify QA performed.","Individual source/schema/default/preset/consumer review in batch8-panels; 468 actual render/control/state combinations plus interaction fixtures. LiquidJS/JSDOM and explicit native filter/dialog adapters are not live Shopify/browser certification. Saved setting IDs retained, all 150 sections and settings_data untouched. B8-FINAL: formally closed for engineering; individual disposition and live queue retained. Final full-suite/native-parse/hash/protected-state evidence: validation/batch8-engineering-closure."
blocks,content-alert,blocks/content-alert.liquid,8 Theme Blocks,snippets/qtm-content-block-wrapper-start.liquid,,,,YES,SOURCE all 47 controls/defaults/options + shared/dynamic consumers; actual option/range/false render cases PASS,All three actual built-in presets plus schema defaults PASS; truthful neutral insertion/actions; no brand-family rollout,"SOURCE bounded widths, shrink/wrap, breakpoint/zero controls and CSS/DOM selector checks PASS; actual pixels/RTL/zoom remain queued","SOURCE/DOM headings/labels/native links/focus-visible, decorative/media naming and progressive reduced-motion reviewed; actual keyboard/AT/contrast queued","Two actual instances per block, native outer IDs, shared singleton engine/independent observed targets PASS",Native wrapper metadata + insertion/selection/unload/reload/reorder/root/late/dynamic lifecycle fixtures PASS; actual editor queued,"CLI 4.8.0 exits 1: 500 findings (3 errors/497 warnings), two paired-wrapper errors repaired; zero errors in this 16-entry group; unsuppressed evidence batch8-primitives",REQUIRES LIVE VERIFICATION,"Stacked/compact layouts now consume their controls; URL-less action omitted/disabled by context; escaped links, native status semantics retained; shipping preset now requests merchant facts instead of promising delivery. Complete balanced wrapper; missing Custom width control repaired; static no-JS styles; retained native outer Theme Block editor metadata; redundant block script tags removed.","B8-PRIMITIVES after engineering batches: actual Shopify block default/preset insertion, real outer wrapper/editor load/unload/reorder/selection; 320/390/768/1280/1440px, long text, RTL/zoom/no-JS/reduced motion/keyboard/AT/theme contrast. Native image and custom Liquid evaluation; real merchant URLs/code/providers remain live responsibilities.","Individual source/full-schema/preset/consumer review in validation/batch8-primitives; 899 actual default/preset/control renders plus targeted regressions. Shopify wrapper/image fixtures and CSS/DOM/observer adapters are not live certification. No Batch 9, brand-preset or host approval inferred. B8-FINAL: formally closed for engineering; individual disposition and live queue retained. Final full-suite/native-parse/hash/protected-state evidence: validation/batch8-engineering-closure."
blocks,content-anchor-navigation,blocks/content-anchor-navigation.liquid,8 Theme Blocks,,,,,YES,SOURCE all 79 settings/defaults/options; direct/dynamic/helper consumers individually traced; control matrix PASS,All 3 actual presets and defaults plus select/checkbox/range endpoints PASS; preserved prior setting IDs and truthful insertion defaults,"SOURCE/DOM all controls/presets/endpoints, independent 750–989 tablet visibility, bounded nested grids/long text/media and desktop/mobile sticky rules PASS; real 320/390/768/1280/1440px/zoom/RTL pixels queued","SOURCE/DOM named native destinations and disclosures, precise current-page/location semantics, escaped plain contact text, manual schedule table headings/caption, reduced-motion focus/hash and no-JS fallbacks PASS; browser keyboard/AT/contrast queued","Actual two-root anchor/menu initialization, hash/native panel composition, independent disclosure state, duplicate execution and punctuation-safe IDs PASS",One native owner of editor metadata; sticky blocks use tag:null and contain scoped styles. Empty setup notes and visibility/animation bypass; insertion/reorder/removal/load/unload/reload and listener/focus-state cleanup PASS; actual native editor queued,Unsuppressed CLI 4.8.0 evidence/comparison in batch8-navigation-information; no scanner suppression; group errors checked explicitly,REQUIRES LIVE VERIFICATION,"Individually reviewed all 79 settings and three presets. Native anchor IDs retain internal punctuation and are encoded once, numbering/first-active follow actual rendered links, scoped deferred enhancement replaces inline listeners. Smooth navigation respects modifier clicks, missing targets, reduced motion, focus cleanup and fragment history/other panel consumers. tag:null places sticky behavior and editor attributes on the actual one root; desktop/tablet/mobile visibility and configured offsets are independent. New inserts require real target IDs rather than fictional anchors; existing settings preserved.","B8-NAVIGATION-INFORMATION live queue after engineering batches: real native menu/current-route and localized breadcrumbs, browser fragment/history/focus/keyboard/AT behavior, sticky behavior within actual builder containers, mobile disclosures, narrow/RTL/zoom/color contrast and actual Theme Editor selection/reload. Merchant contact/schedule/anchor destinations remain manual configuration; no open-now clock or fabricated default details are implied. No live Shopify QA performed; previous queues carry forward.",Individual schema/default/preset/consumer/source review in batch8-navigation-information. All existing setting IDs and saved merchant data preserved. LiquidJS/JSDOM/native menu/page/image/scroll adapters do not certify real Shopify/browser behavior. B8-FINAL: formally closed for engineering; individual disposition and live queue retained. Final full-suite/native-parse/hash/protected-state evidence: validation/batch8-engineering-closure.
blocks,content-badge,blocks/content-badge.liquid,8 Theme Blocks,snippets/qtm-content-block-wrapper-start.liquid,,,,YES,SOURCE all 39 controls/defaults/options + shared/dynamic consumers; actual option/range/false render cases PASS,All three actual built-in presets plus schema defaults PASS; truthful neutral insertion/actions; no brand-family rollout,"SOURCE bounded widths, shrink/wrap, breakpoint/zero controls and CSS/DOM selector checks PASS; actual pixels/RTL/zoom remain queued","SOURCE/DOM headings/labels/native links/focus-visible, decorative/media naming and progressive reduced-motion reviewed; actual keyboard/AT/contrast queued","Two actual instances per block, native outer IDs, shared singleton engine/independent observed targets PASS",Native wrapper metadata + insertion/selection/unload/reload/reorder/root/late/dynamic lifecycle fixtures PASS; actual editor queued,"CLI 4.8.0 exits 1: 500 findings (3 errors/497 warnings), two paired-wrapper errors repaired; zero errors in this 16-entry group; unsuppressed evidence batch8-primitives",REQUIRES LIVE VERIFICATION,"Blank labels no longer become invented New labels; escaped URLs, named soft style has a real consumer, bounded text; replaced Best seller and Limited time sale insertion claims with neutral labels. Complete balanced wrapper; missing Custom width control repaired; static no-JS styles; retained native outer Theme Block editor metadata; redundant block script tags removed.","B8-PRIMITIVES after engineering batches: actual Shopify block default/preset insertion, real outer wrapper/editor load/unload/reorder/selection; 320/390/768/1280/1440px, long text, RTL/zoom/no-JS/reduced motion/keyboard/AT/theme contrast. Native image and custom Liquid evaluation; real merchant URLs/code/providers remain live responsibilities.","Individual source/full-schema/preset/consumer review in validation/batch8-primitives; 899 actual default/preset/control renders plus targeted regressions. Shopify wrapper/image fixtures and CSS/DOM/observer adapters are not live certification. No Batch 9, brand-preset or host approval inferred. B8-FINAL: formally closed for engineering; individual disposition and live queue retained. Final full-suite/native-parse/hash/protected-state evidence: validation/batch8-engineering-closure."
blocks,content-before-after,blocks/content-before-after.liquid,8 Theme Blocks,,,,,YES,SOURCE all 33 settings/defaults/options; direct/dynamic/helper consumers individually traced; control matrix PASS,All 3 actual presets and defaults plus select/checkbox/range endpoints PASS; preserved prior setting IDs and truthful insertion defaults,"SOURCE/DOM all layouts/visibility/range endpoints, clipped full-size comparison media, container-bound points with in-flow callouts, zero-minimum feature tracks and sparse/narrow stack/lookbook composition PASS; real 320–1440px/zoom/RTL pixels queued","SOURCE/DOM native no-JS images/details/video and readable feature panels, valid range/disclosure names, native alt fallbacks, safe labels/links, keyboard/RTL map controls, focus restoration and reduced-motion/playback controls PASS; real keyboard/AT/contrast queued","Independent raw block IDs and native one-wrapper ownership PASS; shared actual controller two-instance range/disclosure/map state, singleton reexecution, inserted/reordered/removed roots and native video policy adapters PASS",Design-mode visibility and motion bypass; meaningful empty media guidance; section unload/load and mutation disposal restore native fallback and disconnect Resize/Intersection observers PASS; actual Theme Editor queued,Unsuppressed CLI 4.8.0 evidence/comparison in batch8-visual-media; no scanner suppression; group errors checked explicitly,REQUIRES LIVE VERIFICATION,"Individually reviewed all 33 original settings and three presets. Comparison enhancement now clips a full-size after image instead of resizing it into a shrinking crop, preserving alignment with the before image. Native range and decorative handle are hidden until the shared controller mounts; no-JS shows both full images and associated labels. Single native images survive without storefront setup placeholders, image alt falls back to native metadata, and labels/links are safely handled. Actual complete CTA/copy/media guards remove empty grid columns; partial images take the full comparison width. Unknown motion cannot leave opacity zero; independent device/editor ownership and bounded nested sizing preserved.","B8-VISUAL-MEDIA live queue after engineering batches: native responsive image geometry and exact crop/point alignment, real 320–1440px/zoom/RTL/nested builder layouts, image-stack overlap/caption readability and lookbook overlay contrast, real range/disclosure/feature-map keyboard/AT, native video controls/autoplay/rejection/visibility/reduced-motion behavior, actual product prices/media and Theme Editor lifecycle. DOM/media/geometry adapters are not acceptance. No live Shopify QA; prior queues carry forward.",Individual source/schema/default/preset/consumer review in batch8-visual-media. All prior IDs/options and merchant settings_data preserved. Three needed text/color controls added without changing existing saved values. LiquidJS/JSDOM/native image/video/geometry/observer adapters do not certify native Shopify/browser pixels or playback. B8-FINAL: formally closed for engineering; individual disposition and live queue retained. Final full-suite/native-parse/hash/protected-state evidence: validation/batch8-engineering-closure.
blocks,content-benefits-vs-drawbacks,blocks/content-benefits-vs-drawbacks.liquid,8 Theme Blocks,,,,,YES,SOURCE all 50 settings/defaults/options; direct/dynamic/helper consumers individually traced; control matrix PASS,All 3 actual presets and defaults plus select/checkbox/range endpoints PASS; preserved prior setting IDs and truthful insertion defaults,"SOURCE/DOM every layout/count/column/control endpoint, bounded card padding/flex/media, actual comparison column widths, wrapping mobile definitions and independent tablet visibility PASS; real 320/390/768/1280/1440px/zoom/RTL pixels queued","SOURCE/DOM named native links/focus, alt fallback, row/column scopes/caption/scroll region and decorative comparison symbols paired with readable translated labels PASS; real keyboard/AT/contrast queued","Actual independently rendered block IDs, native one-wrapper ownership, inline scoped styles and no per-instance script/listener state PASS","One native owner of editor metadata; meaningful empty setup notes, hidden storefront empties and design-mode visibility/motion bypass PASS; no controller lifecycle required for these static native blocks; actual Theme Editor queued",Unsuppressed CLI 4.8.0 evidence/comparison in batch8-content-cards; no scanner suppression; group errors checked explicitly,REQUIRES LIVE VERIFICATION,"Individually reviewed all 50 settings and three presets. Populated advantages/tradeoffs panels are counted independently, and the active column count avoids an empty half-width panel. Real authored explanation/CTA/footer survives; footer notes no longer disappear when a CTA is configured. Icons now use the explicit panel accent background instead of resolving both foreground/background to white; redundant first-letter overrides removed. Safe links, long labels, bounded layout/device/editor behavior preserved. New presets use neutral comparison headings and leave unverified advantage/competitor claims empty.","B8-CONTENT-CARDS live queue after engineering batches: real card image rendition/alt/overlay stacking and configured colors; native narrow builder grids/flex, zoom/RTL and 320–1440px layouts; comparison table/definition-list semantics and keyboard/AT/contrast; actual Theme Editor insert/select/reorder. Merchant prices, comparisons and guarantee terms remain manual authored claims and do not change Shopify policies/cart prices. No live Shopify QA; prior queues carry forward.",Individual source/schema/default/preset/consumer review in batch8-content-cards. All prior IDs/options and merchant settings_data preserved. Actual preset counts are one each for Feature Cards/Content Cards/Promo Card and three each for comparisons/guarantees. LiquidJS/JSDOM/native image adapters do not certify native Shopify/browser pixels. B8-FINAL: formally closed for engineering; individual disposition and live queue retained. Final full-suite/native-parse/hash/protected-state evidence: validation/batch8-engineering-closure.
blocks,content-breadcrumbs,blocks/content-breadcrumbs.liquid,8 Theme Blocks,,,,,YES,SOURCE all 33 settings/defaults/options; direct/dynamic/helper consumers individually traced; control matrix PASS,All 3 actual presets and defaults plus select/checkbox/range endpoints PASS; preserved prior setting IDs and truthful insertion defaults,"SOURCE/DOM all controls/presets/endpoints, independent 750–989 tablet visibility, bounded nested grids/long text/media and desktop/mobile sticky rules PASS; real 320/390/768/1280/1440px/zoom/RTL pixels queued","SOURCE/DOM named native destinations and disclosures, precise current-page/location semantics, escaped plain contact text, manual schedule table headings/caption, reduced-motion focus/hash and no-JS fallbacks PASS; browser keyboard/AT/contrast queued","Actual two-root anchor/menu initialization, hash/native panel composition, independent disclosure state, duplicate execution and punctuation-safe IDs PASS",One native owner of editor metadata; sticky blocks use tag:null and contain scoped styles. Empty setup notes and visibility/animation bypass; insertion/reorder/removal/load/unload/reload and listener/focus-state cleanup PASS; actual native editor queued,Unsuppressed CLI 4.8.0 evidence/comparison in batch8-navigation-information; no scanner suppression; group errors checked explicitly,REQUIRES LIVE VERIFICATION,"Individually reviewed all 33 settings and three presets. Derives the current title from the actual native page type with an optional native collection/blog parent; separators only separate real entries, no empty labels or fabricated parents. Home is a named current page on index and native locale-aware link elsewhere. Cleared navigation/home/cart/search/account wording has meaningful fallback. Escaped native URLs and long labels remain readable; previously unconsumed heading-color setting now explicitly controls focus outline with clarified label.","B8-NAVIGATION-INFORMATION live queue after engineering batches: real native menu/current-route and localized breadcrumbs, browser fragment/history/focus/keyboard/AT behavior, sticky behavior within actual builder containers, mobile disclosures, narrow/RTL/zoom/color contrast and actual Theme Editor selection/reload. Merchant contact/schedule/anchor destinations remain manual configuration; no open-now clock or fabricated default details are implied. No live Shopify QA performed; previous queues carry forward.",Individual schema/default/preset/consumer/source review in batch8-navigation-information. All existing setting IDs and saved merchant data preserved. LiquidJS/JSDOM/native menu/page/image/scroll adapters do not certify real Shopify/browser behavior. B8-FINAL: formally closed for engineering; individual disposition and live queue retained. Final full-suite/native-parse/hash/protected-state evidence: validation/batch8-engineering-closure.
blocks,content-button-group,blocks/content-button-group.liquid,8 Theme Blocks,snippets/qtm-content-block-wrapper-start.liquid,,,,YES,SOURCE all 57 controls/defaults/options + shared/dynamic consumers; actual option/range/false render cases PASS,All three actual built-in presets plus schema defaults PASS; truthful neutral insertion/actions; no brand-family rollout,"SOURCE bounded widths, shrink/wrap, breakpoint/zero controls and CSS/DOM selector checks PASS; actual pixels/RTL/zoom remain queued","SOURCE/DOM headings/labels/native links/focus-visible, decorative/media naming and progressive reduced-motion reviewed; actual keyboard/AT/contrast queued","Two actual instances per block, native outer IDs, shared singleton engine/independent observed targets PASS",Native wrapper metadata + insertion/selection/unload/reload/reorder/root/late/dynamic lifecycle fixtures PASS; actual editor queued,"CLI 4.8.0 exits 1: 500 findings (3 errors/497 warnings), two paired-wrapper errors repaired; zero errors in this 16-entry group; unsuppressed evidence batch8-primitives",REQUIRES LIVE VERIFICATION,"Removed fallback labels that prevented hiding a button; omit URL-less storefront actions, disabled editor previews; fixed actual primary/secondary color selectors, vertical/mobile layouts and alignment; neutral link-group presets with a usable catalog link. Complete balanced wrapper; missing Custom width control repaired; static no-JS styles; retained native outer Theme Block editor metadata; redundant block script tags removed.","B8-PRIMITIVES after engineering batches: actual Shopify block default/preset insertion, real outer wrapper/editor load/unload/reorder/selection; 320/390/768/1280/1440px, long text, RTL/zoom/no-JS/reduced motion/keyboard/AT/theme contrast. Native image and custom Liquid evaluation; real merchant URLs/code/providers remain live responsibilities.","Individual source/full-schema/preset/consumer review in validation/batch8-primitives; 899 actual default/preset/control renders plus targeted regressions. Shopify wrapper/image fixtures and CSS/DOM/observer adapters are not live certification. No Batch 9, brand-preset or host approval inferred. B8-FINAL: formally closed for engineering; individual disposition and live queue retained. Final full-suite/native-parse/hash/protected-state evidence: validation/batch8-engineering-closure."
blocks,content-button,blocks/content-button.liquid,8 Theme Blocks,snippets/qtm-content-block-wrapper-start.liquid,,,,YES,SOURCE all 40 controls/defaults/options + shared/dynamic consumers; actual option/range/false render cases PASS,All three actual built-in presets plus schema defaults PASS; truthful neutral insertion/actions; no brand-family rollout,"SOURCE bounded widths, shrink/wrap, breakpoint/zero controls and CSS/DOM selector checks PASS; actual pixels/RTL/zoom remain queued","SOURCE/DOM headings/labels/native links/focus-visible, decorative/media naming and progressive reduced-motion reviewed; actual keyboard/AT/contrast queued","Two actual instances per block, native outer IDs, shared singleton engine/independent observed targets PASS",Native wrapper metadata + insertion/selection/unload/reload/reorder/root/late/dynamic lifecycle fixtures PASS; actual editor queued,"CLI 4.8.0 exits 1: 500 findings (3 errors/497 warnings), two paired-wrapper errors repaired; zero errors in this 16-entry group; unsuppressed evidence batch8-primitives",REQUIRES LIVE VERIFICATION,Unconfigured links are omitted on storefront and disabled in editor; URLs escaped; default/presets use native catalog destination; removed fictitious Add to cart action and renamed full-width preset to match both breakpoints. Complete balanced wrapper; missing Custom width control repaired; static no-JS styles; retained native outer Theme Block editor metadata; redundant block script tags removed.,"B8-PRIMITIVES after engineering batches: actual Shopify block default/preset insertion, real outer wrapper/editor load/unload/reorder/selection; 320/390/768/1280/1440px, long text, RTL/zoom/no-JS/reduced motion/keyboard/AT/theme contrast. Native image and custom Liquid evaluation; real merchant URLs/code/providers remain live responsibilities.","Individual source/full-schema/preset/consumer review in validation/batch8-primitives; 899 actual default/preset/control renders plus targeted regressions. Shopify wrapper/image fixtures and CSS/DOM/observer adapters are not live certification. No Batch 9, brand-preset or host approval inferred. B8-FINAL: formally closed for engineering; individual disposition and live queue retained. Final full-suite/native-parse/hash/protected-state evidence: validation/batch8-engineering-closure."
blocks,content-code,blocks/content-code.liquid,8 Theme Blocks,snippets/qtm-content-block-wrapper-start.liquid,,,,YES,SOURCE all 33 controls/defaults/options + shared/dynamic consumers; actual option/range/false render cases PASS,All three actual built-in presets plus schema defaults PASS; truthful neutral insertion/actions; no brand-family rollout,"SOURCE bounded widths, shrink/wrap, breakpoint/zero controls and CSS/DOM selector checks PASS; actual pixels/RTL/zoom remain queued","SOURCE/DOM headings/labels/native links/focus-visible, decorative/media naming and progressive reduced-motion reviewed; actual keyboard/AT/contrast queued","Two actual instances per block, native outer IDs, shared singleton engine/independent observed targets PASS",Native wrapper metadata + insertion/selection/unload/reload/reorder/root/late/dynamic lifecycle fixtures PASS; actual editor queued,"CLI 4.8.0 exits 1: 500 findings (3 errors/497 warnings), two paired-wrapper errors repaired; zero errors in this 16-entry group; unsuppressed evidence batch8-primitives",REQUIRES LIVE VERIFICATION,Contain-overflow now conditional; warnings/guidance editor-only; removed identical processing branches; mode honestly describes the same native Liquid field plus editor guidance/embed sizing; no product-only or blank-provider sample required. Complete balanced wrapper; missing Custom width control repaired; static no-JS styles; retained native outer Theme Block editor metadata; redundant block script tags removed.,"B8-PRIMITIVES after engineering batches: actual Shopify block default/preset insertion, real outer wrapper/editor load/unload/reorder/selection; 320/390/768/1280/1440px, long text, RTL/zoom/no-JS/reduced motion/keyboard/AT/theme contrast. Native image and custom Liquid evaluation; real merchant URLs/code/providers remain live responsibilities.","Individual source/full-schema/preset/consumer review in validation/batch8-primitives; 899 actual default/preset/control renders plus targeted regressions. Shopify wrapper/image fixtures and CSS/DOM/observer adapters are not live certification. No Batch 9, brand-preset or host approval inferred. B8-FINAL: formally closed for engineering; individual disposition and live queue retained. Final full-suite/native-parse/hash/protected-state evidence: validation/batch8-engineering-closure."
blocks,content-collection-banner,blocks/content-collection-banner.liquid,8 Theme Blocks,,,,,YES,SOURCE all 56 settings/defaults/options; direct/dynamic/helper consumers individually traced; control matrix PASS,All 3 actual presets and defaults plus select/checkbox/range endpoints PASS; preserved prior setting IDs and truthful insertion defaults,"SOURCE/DOM every layout/control endpoint, bounded widths/padding, missing-image tracks, in-flow long carousel captions, narrow container composition and independent mobile/tablet/desktop ranges PASS; real 320–1440px/RTL/zoom/contrast pixels queued","SOURCE/DOM native linked collection cards/no-JS scroll region, nonempty action names, escaped text/URLs, native alt, focus indicators, measured page controls/RTL/Home/End, nested-key ownership and persistent rotation pause with reduced motion PASS; real keyboard/AT queued",Raw native block IDs preserve case/underscore with one editor wrapper; two actual carousel roots have independent measured navigation/pause/observer state; duplicate asset execution and reorder mount once PASS,"Editor visibility/motion bypass and meaningful missing-source guidance PASS; design mode never autoplays, mutation insert/remove/reorder and section unload/load dispose/reinitialize actual shared controller PASS; native Theme Editor queued",Unsuppressed CLI 4.8.0 evidence/comparison in batch8-collection-discovery; no scanner suppression; group errors checked explicitly,REQUIRES LIVE VERIFICATION,"Individually reviewed all 56 original controls and three presets. Native selected collection remains the primary title/image/link source with configured custom and fallback sources preserved. Complete label/destination guards remove empty anchors and empty action rows; meaningful media/copy/count state replaces unconditional custom-banner shells. Missing images no longer reserve a split column, and image-only banners omit empty copy. Descriptions, labels and URLs are safely rendered, including native zero product counts. New preset insertion omits setup copy, invented limited-time/seasonal claims and unconfigured secondary-only banners; saved merchant content remains untouched. Native wrapper ownership, editor visibility, bounded padding/widths, independent device ranges and narrow split layout repaired.","B8-COLLECTION-DISCOVERY live queue after engineering batches: actual native collection/product image and price rendering, 320–1440px/zoom/RTL/nested-builder layout and image/caption contrast, real scroll-snap and measured pagination/keyboard/AT, autoplay pause/visibility/reduced motion, native Theme Editor insertion/reorder/removal. DOM geometry/timer/native-drop adapters are not acceptance. No live Shopify QA; earlier queues carry forward.","Individual source/schema/default/preset/consumer review recorded in batch8-collection-discovery. Every prior ID/type/option and merchant settings_data preserved; six needed text/color controls added. Existing carousel engine revalidated contextually, preserving original ownership. LiquidJS/JSDOM/native-image/geometry/timer adapters are not live Shopify/browser acceptance. B8-FINAL: formally closed for engineering; individual disposition and live queue retained. Final full-suite/native-parse/hash/protected-state evidence: validation/batch8-engineering-closure."
blocks,content-collection-cards,blocks/content-collection-cards.liquid,8 Theme Blocks,snippets/qtm-block-collection-card.liquid,,,,YES,SOURCE all 55 settings/defaults/options; direct/dynamic/helper consumers individually traced; control matrix PASS,All 3 actual presets and defaults plus select/checkbox/range endpoints PASS; preserved prior setting IDs and truthful insertion defaults,"SOURCE/DOM every layout/control endpoint, bounded widths/padding, missing-image tracks, in-flow long carousel captions, narrow container composition and independent mobile/tablet/desktop ranges PASS; real 320–1440px/RTL/zoom/contrast pixels queued","SOURCE/DOM native linked collection cards/no-JS scroll region, nonempty action names, escaped text/URLs, native alt, focus indicators, measured page controls/RTL/Home/End, nested-key ownership and persistent rotation pause with reduced motion PASS; real keyboard/AT queued",Raw native block IDs preserve case/underscore with one editor wrapper; two actual carousel roots have independent measured navigation/pause/observer state; duplicate asset execution and reorder mount once PASS,"Editor visibility/motion bypass and meaningful missing-source guidance PASS; design mode never autoplays, mutation insert/remove/reorder and section unload/load dispose/reinitialize actual shared controller PASS; native Theme Editor queued",Unsuppressed CLI 4.8.0 evidence/comparison in batch8-collection-discovery; no scanner suppression; group errors checked explicitly,REQUIRES LIVE VERIFICATION,"Individually reviewed all 54 original controls plus one overlay text-color control and three presets. Shared native collection renderer replaces duplicated single/manual card paths while preserving featured-selection precedence, its existing manual-list fallback and configured limits. Only actual collection links render; absent images and empty descriptions/buttons no longer produce fake media or empty content. Compact tracks and images shrink inside nested builders; image-free overlay cards use normal readable text colors. Native titles/descriptions/URLs/counts and alt fallback are safely rendered, all image candidates load lazily, and overlay color is configurable. New insertion is neutral/editor-guided; all prior IDs/options and saved values retained.","B8-COLLECTION-DISCOVERY live queue after engineering batches: actual native collection/product image and price rendering, 320–1440px/zoom/RTL/nested-builder layout and image/caption contrast, real scroll-snap and measured pagination/keyboard/AT, autoplay pause/visibility/reduced motion, native Theme Editor insertion/reorder/removal. DOM geometry/timer/native-drop adapters are not acceptance. No live Shopify QA; earlier queues carry forward.","Individual source/schema/default/preset/consumer review recorded in batch8-collection-discovery. Every prior ID/type/option and merchant settings_data preserved; six needed text/color controls added. Existing carousel engine revalidated contextually, preserving original ownership. LiquidJS/JSDOM/native-image/geometry/timer adapters are not live Shopify/browser acceptance. B8-FINAL: formally closed for engineering; individual disposition and live queue retained. Final full-suite/native-parse/hash/protected-state evidence: validation/batch8-engineering-closure."
